(0.4151110216218741+0j),(0.19492776623386548+0j),(0.36602881472936344+0j),(0.2544658543157915+0j),(0.14519631610229505+0j),(0.5301989775069711+0j),(0.005434869204196051+0j),(0.5373393505894478+0j)
(0.573454355765727+0j),(0.5272143936903569+0j),(0.4933185453759423+0j),(0.17428294397189079+0j),(0.06290440781776803+0j),(0.12166834818872072+0j),(0.3156862228804134+0j),(0.032239887985255455+0j)
(0.28768012657816383+0j),(0.41757821565406134+0j),(0.4509828940417295+0j),(0.3314727188377837+0j),(0.19853317493413944+0j),(0.43229268179539565+0j),(0.4176962986129779+0j),(0.16984187461550487+0j)
(0.4925181671295636+0j),(0.14734906935514672+0j),(0.03715005677708297+0j),(0.30119648824870177+0j),(0.3326424088329117+0j),(0.2027871015615338+0j),(0.5032636632266299+0j),(0.48843296379077433+0j)
(0.05974276035181251+0j),(0.42456816666193914+0j),(0.3138520581120243+0j),(0.14297372383694776+0j),(0.003985760527768786+0j),(0.02533992547557044+0j),(0.3532806305373039+0j),(0.7561500329504598+0j)
(0.6827807668417714+0j),(0.3978517149763623+0j),(0.2445510811916094+0j),(0.11067818446897618+0j),(0.3445459916202521+0j),(0.1577977218323788+0j),(0.21917951644098438+0j),(0.3343917219484074+0j)
(0.2556347711007992+0j),(0.3975640179509639+0j),(0.45584677329402673+0j),(0.026092587387017786+0j),(0.3165142493544247+0j),(0.4684312835288487+0j),(0.4340107895246295+0j),(0.24523888096941487+0j)
(0.04295799408506586+0j),(0.17039539908133688+0j),(0.4598333244139047+0j),(0.0905275840441919+0j),(0.56409233811849+0j),(0.5609096163256738+0j),(0.29647150007416706+0j),(0.16959650655261585+0j)
(0.0864300772038858+0j),(0.3802800809467496+0j),(0.2845659097620526+0j),(0.015359825880975501+0j),(0.05751389089964488+0j),(0.567488083541996+0j),(0.3943875673982688+0j),(0.5346130325880185+0j)
(0.2755894041262814+0j),(0.31574028246021635+0j),(0.3170912119371666+0j),(0.023468689808282817+0j),(0.5639272573816503+0j),(0.0886800859642202+0j),(0.6220407943614479+0j),(0.10221584594245987+0j)
(0.07130097447133799+0j),(0.5828122733557664+0j),(0.03304744777823215+0j),(0.05994857110542767+0j),(0.7073873445108368+0j),(0.3846424808429379+0j),(0.003235196831426864+0j),(0.04693506515859939+0j)
(0.4971176940684559+0j),(0.41554734841809327+0j),(0.30266763697051036+0j),(0.08388341877416888+0j),(0.1397790936904109+0j),(0.1741014072090284+0j),(0.4773933836176592+0j),(0.45143807471812075+0j)
(0.08917161766301142+0j),(0.1484818672363551+0j),(0.2011543594252102+0j),(0.098186430211961+0j),(0.7207368515983642+0j),(0.6057474044535122+0j),(0.1830187491588445+0j),(0.003242917525140286+0j)
(0.454096130811164+0j),(0.5324548727272722+0j),(0.175711831209766+0j),(0.3613601794209644+0j),(0.13384858359719404+0j),(0.16978773632410377+0j),(0.5467216450307419+0j),(0.05643411832318102+0j)
(0.341202403072518+0j),(0.490475221133106+0j),(0.23885116825707084+0j),(0.48739590969452085+0j),(0.41416142778340864+0j),(0.27221472695020615+0j),(0.30329788204470864+0j),(0.10387575820315188+0j)
(0.5224422386280485+0j),(0.16048062548752806+0j),(0.46953916560602643+0j),(0.1686428304897106+0j),(0.5195561602378401+0j),(0.2068401526449502+0j),(0.30738704758405194+0j),(0.21256621184267652+0j)
(0.23928506654829446+0j),(0.35528718418964406+0j),(0.4162158545052485+0j),(0.6515642996234309+0j),(0.2959611039123892+0j),(0.3463104479268856+0j),(0.017394177617629927+0j),(0.10447746553641214+0j)
(0.47571239728710607+0j),(0.290083688793571+0j),(0.3375379249174803+0j),(0.28248379450633476+0j),(0.07868299632448222+0j),(0.5420903894661812+0j),(0.4217154074525111+0j),(0.13387805832899405+0j)
(0.4345110544241696+0j),(0.34277845230336695+0j),(0.4436562271415153+0j),(0.17457310779536428+0j),(0.4559505038897403+0j),(0.40706819564762287+0j),(0.2897226552117149+0j),(0.09413747141751459+0j)
(0.29337301819629047+0j),(0.34217268911615867+0j),(0.029238623959577367+0j),(0.01578422786372707+0j),(0.4496352056991454+0j),(0.34435818710300586+0j),(0.4780391809099573+0j),(0.49645769842260246+0j)
(0.6815342632293143+0j),(0.25505193720940916+0j),(0.37281326264920267+0j),(0.38122238808147235+0j),(0.14514324759522915+0j),(0.03368948113018994+0j),(0.2918219311879963+0j),(0.2806737187641832+0j)
(0.35980246379697456+0j),(0.07089299429018509+0j),(0.09169378157589604+0j),(0.09332754172308234+0j),(0.6751834733597901+0j),(0.1669172724087745+0j),(0.22423485510488145+0j),(0.5606988692800745+0j)
(0.474200237945892+0j),(0.4860064994093017+0j),(0.24447990032274655+0j),(0.19420664698133397+0j),(0.4308788727313672+0j),(0.4587191350097154+0j),(0.18554545862186786+0j),(0.1045858903720226+0j)
(0.3199748374022453+0j),(0.11279191348194709+0j),(0.4819125302811683+0j),(0.4852974234312841+0j),(0.2204586770922105+0j),(0.0018758640628362129+0j),(0.42403268023878327+0j),(0.43443244649741647+0j)
(0.1917800672791337+0j),(0.38414517992791947+0j),(0.31192624763028703+0j),(0.02076439721924937+0j),(0.41953688493427577+0j),(0.05889913037217345+0j),(0.2177955108371327+0j),(0.7007200243037199+0j)
(0.5841087818191952+0j),(0.2622201024629334+0j),(0.23540146475763649+0j),(0.11801860939138854+0j),(0.19135385220458212+0j),(0.33771766026700495+0j),(0.4212281660777875+0j),(0.43887654800216575+0j)
(0.0880363061102116+0j),(0.08611114611900285+0j),(0.28705824434457483+0j),(0.1719865872725439+0j),(0.5859884582979614+0j),(0.37319775337628863+0j),(0.5436603806831619+0j),(0.307615037936385+0j)
(0.46258654982733366+0j),(0.6241374513043253+0j),(0.27009511422712534+0j),(0.14710362610071062+0j),(0.3514921265276059+0j),(0.3008869004716326+0j),(0.2782152024916585+0j),(0.10194085281693596+0j)
(0.2966405186105027+0j),(0.04276380339930565+0j),(0.4788295105237062+0j),(0.6929310806173973+0j),(0.26131439426254316+0j),(0.12762067558882348+0j),(0.31743038576513827+0j),(0.12413773765378294+0j)
(0.35687654636444766+0j),(0.11069384654041786+0j),(0.08910433033877951+0j),(0.16558967136687286+0j),(0.4066819079453532+0j),(0.27855582452479866+0j),(0.4641003314753361+0j),(0.6055194817198528+0j)
(0.3823146357677298+0j),(0.052503835534831594+0j),(0.3352585424427574+0j),(0.21884779083384232+0j),(0.16434364567180668+0j),(0.4342643270803594+0j),(0.46546552697642984+0j),(0.5084621168263382+0j)
(0.046565387246328215+0j),(0.044011863241208614+0j),(0.4875700132476027+0j),(0.5855997665684305+0j),(0.13882702893565188+0j),(0.07844419289685253+0j),(0.6143023750133793+0j),(0.11157586151113304+0j)
(0.24025202430572257+0j),(0.3832723456969379+0j),(0.4504928633901046+0j),(0.03927560359510061+0j),(0.542645767991046+0j),(0.196576958485237+0j),(0.4903787135831177+0j),(0.13159281126437844+0j)
(0.4648450051594535+0j),(0.17442710815822665+0j),(0.04462986185787623+0j),(0.4921144605979589+0j),(0.5114022944983+0j),(0.29425870969736273+0j),(0.40145781645499196+0j),(0.006079866371892504+0j)
(0.36344738068952415+0j),(0.06732533190231269+0j),(0.4574913759221712+0j),(0.39920617265333314+0j),(0.29602594128985515+0j),(0.4512379085893608+0j),(0.12016290999850844+0j),(0.4347680310493502+0j)
(0.3499394555254969+0j),(0.5379959145737435+0j),(0.36874941080898477+0j),(0.5264058629483053+0j),(0.19827029158054968+0j),(0.05375755283883668+0j),(0.2470349126036367+0j),(0.26794828193965675+0j)
(0.130334662646644+0j),(0.4351267167453368+0j),(0.11148642174558712+0j),(0.22718246473801135+0j),(0.5327758136186429+0j),(0.2862965895121343+0j),(0.367725834823223+0j),(0.4781196787723901+0j)
(0.16834539304298596+0j),(0.42438440781165343+0j),(0.3672640161200727+0j),(0.30272549234848856+0j),(0.36902930295672187+0j),(0.10996383522783104+0j),(0.37453888419451364+0j),(0.5258118242497652+0j)
(0.5374054192076578+0j),(0.214948533851604+0j),(0.18303017035618444+0j),(0.5108878974614294+0j),(0.3097194187881577+0j),(0.24746811663115742+0j),(0.2337238522041279+0j),(0.3983624354222297+0j)
(0.5968806711481929+0j),(0.4590431867195223+0j),(0.05850344762175439+0j),(0.47648289445207387+0j),(0.06451076014369864+0j),(0.31600633413329565+0j),(0.1307648434353521+0j),(0.28536490565880257+0j)
(0.2810626685072076+0j),(0.5677053928560972+0j),(0.1275212782143498+0j),(0.1535142517250347+0j),(0.47970044236383597+0j),(0.10734611490914703+0j),(0.3612092617053722+0j),(0.43217846762848444+0j)
(0.08938607138451965+0j),(0.43523142616524807+0j),(0.41193110590118154+0j),(0.5469255136472161+0j),(0.19659179124318218+0j),(0.058666306272038754+0j),(0.47801367623800045+0j),(0.25135998067908233+0j)
(0.02919923912817279+0j),(0.5496745286130851+0j),(0.02155866391279445+0j),(0.20925944189625106+0j),(0.5258142240783639+0j),(0.5615870945800088+0j),(0.2150236796766017+0j),(0.12105858561981332+0j)
(0.027482197387758794+0j),(0.5084316076827469+0j),(0.5637518358365298+0j),(0.2694927884384852+0j),(0.2351005111362228+0j),(0.1635480863775885+0j),(0.3311226689454566+0j),(0.3982927126155123+0j)
(0.14394458371703803+0j),(0.26104679380582474+0j),(0.4728865092993738+0j),(0.2973908417574255+0j),(0.5037608191398728+0j),(0.10412518351178843+0j),(0.21283881116300837+0j),(0.5377305910440363+0j)
(0.5923917637650059+0j),(0.01001349383997998+0j),(0.6136985906017928+0j),(0.18971979243117107+0j),(0.2535143857558832+0j),(0.15268211494691514+0j),(0.3349036043889837+0j),(0.19133837089086486+0j)
(0.08078469291450452+0j),(0.5822463686543571+0j),(0.37553477465332574+0j),(0.5185124964569782+0j),(0.45109725192167227+0j),(0.023919843893832074+0j),(0.15622254988896686+0j),(0.12694506255286572+0j)
(0.24709517907921333+0j),(0.5646597538681584+0j),(0.32795808439903446+0j),(0.26549278972259843+0j),(0.4815610891428412+0j),(0.1686052235716072+0j),(0.4244487805311892+0j),(0.03968421642801559+0j)
(0.19426081582718047+0j),(0.1411453132145711+0j),(0.10700897838277157+0j),(0.49471852213126327+0j),(0.4092849020471988+0j),(0.5202719255438695+0j),(0.03613023893594527+0j),(0.4966296373344767+0j)
(0.09050684570129393+0j),(0.25565310341088954+0j),(0.5273277382246464+0j),(0.23080128112291537+0j),(0.2425444860848963+0j),(0.6768068199482301+0j),(0.27689459512870557+0j),(0.03924679169525259+0j)
(0.29723469510493616+0j),(0.28335539608658844+0j),(0.386239713487713+0j),(0.4240485156507699+0j),(0.4251762721925729+0j),(0.07524380706811279+0j),(0.5453696107193007+0j),(0.136009155574169+0j)
(0.35544142434186127+0j),(0.26645192034816695+0j),(0.21562959725530265+0j),(0.7492528872261626+0j),(0.3271853987626135+0j),(0.03492286654857401+0j),(0.25553034342980563+0j),(0.14568152796632755+0j)
(0.1658728399115194+0j),(0.04360114248200505+0j),(0.5376374476937515+0j),(0.15937543177563251+0j),(0.09942380486995743+0j),(0.3108144058712911+0j),(0.33261988613430343+0j),(0.6625737026276326+0j)
(0.1833541839873389+0j),(0.6423313031346276+0j),(0.2508626207167744+0j),(0.4665110222172916+0j),(0.038471035411034075+0j),(0.509383285099903+0j),(0.10934219915749303+0j),(0.01789088268460841+0j)
(0.05022322971408932+0j),(0.46639231788869384+0j),(0.20792207814262806+0j),(0.09417334955136525+0j),(0.1648253089844972+0j),(0.45631644686506745+0j),(0.6565526989343918+0j),(0.24779445923425256+0j)
(0.3921844840599234+0j),(0.13149753029018513+0j),(0.49225800442781215+0j),(0.1796266903454556+0j),(0.34839998638794334+0j),(0.5159821000229815+0j),(0.2813946274427617+0j),(0.2958260042146798+0j)
(0.21207817813419327+0j),(0.4078345531379844+0j),(0.058862343321685266+0j),(0.5431341949906987+0j),(0.1184806907615696+0j),(0.5341808271928938+0j),(0.43312330465584786+0j),(0.057023391136290034+0j)
(0.5100359729712196+0j),(0.45748628584314716+0j),(0.36866309308926776+0j),(0.1878500636995993+0j),(0.09983313229926412+0j),(0.07232378250410164+0j),(0.28687070089603733+0j),(0.5117394835750778+0j)
(0.2397731109310258+0j),(0.3234121494300855+0j),(0.13397723870840583+0j),(0.5087636609181488+0j),(0.10037455350590635+0j),(0.01885631719642123+0j),(0.4312217435633191+0j),(0.6039373062671264+0j)
(0.49023575017013243+0j),(0.11195991166556135+0j),(0.37857467444842846+0j),(0.14427944254007097+0j),(0.3200079884327523+0j),(0.4359517203636654+0j),(0.5389006460092881+0j),(0.011208226599947305+0j)
(0.5614051671661083+0j),(0.18822491286367357+0j),(0.5820665521240577+0j),(0.35253548656862455+0j),(0.05167153041130214+0j),(0.27555925361419514+0j),(0.2656808338137937+0j),(0.19267518081330592+0j)
(0.33560379651564987+0j),(0.5817556628903033+0j),(0.08913289393505193+0j),(0.0843141999268058+0j),(0.046880803344142886+0j),(0.1643867262109093+0j),(0.5428114690673531+0j),(0.4582704299223556+0j)
(0.23737310851598237+0j),(0.24538801687501016+0j),(0.12557614238566078+0j),(0.6738123933043207+0j),(0.10555626598320089+0j),(0.026163629647271567+0j),(0.625213065110225+0j),(0.10453794541452749+0j)
(0.2613207953800638+0j),(0.3769952654245005+0j),(0.09885289988846796+0j),(0.13209616650352057+0j),(0.048561896153817945+0j),(0.5751856727032276+0j),(0.2216072446776798+0j),(0.6164885497666636+0j)
(0.0035926009860502155+0j),(0.19517101271663545+0j),(0.16032050881523632+0j),(0.33495754919637105+0j),(0.5390877487067449+0j),(0.5494033332640468+0j),(0.005275863452358513+0j),(0.4811534948022123+0j)
(0.19693443553105974+0j),(0.2689070771797244+0j),(0.2298336704003462+0j),(0.2732628234760367+0j),(0.4799536453202033+0j),(0.5437495974564349+0j),(0.4636786153997043+0j),(0.14280315273745472+0j)
(0.47726749600617613+0j),(0.25180655411994723+0j),(0.20973030209723942+0j),(0.300160439613065+0j),(0.3843497917385343+0j),(0.17232903399422184+0j),(0.4955323142372417+0j),(0.38955330137424343+0j)
(0.14123180658004886+0j),(0.4807095978892578+0j),(0.6157888530580429+0j),(0.26553598580106125+0j),(0.3822977216960474+0j),(0.2992369558040285+0j),(0.06407758590606484+0j),(0.24385722719042546+0j)
(0.18534557930234788+0j),(0.283493638808206+0j),(0.06160444743139524+0j),(0.21038104478143327+0j),(0.5080822099550388+0j),(0.19617048292169817+0j),(0.4320751162875031+0j),(0.5948981295014438+0j)
(0.042054776828155914+0j),(0.22641963129614748+0j),(0.14558390522705578+0j),(0.5552760518336328+0j),(0.1780272446997914+0j),(0.25992122535151635+0j),(0.5567786737718683+0j),(0.45627200691884345+0j)
(0.35722730186344054+0j),(0.10894699865307146+0j),(0.5010927788564039+0j),(0.251722960509323+0j),(0.3531681868281838+0j),(0.04115096238219572+0j),(0.5273728071269491+0j),(0.3761881667846515+0j)
(0.5504590662910835+0j),(0.12603749154930155+0j),(0.3364585200163114+0j),(0.28390750652047975+0j),(0.1426700446328808+0j),(0.02177839047162008+0j),(0.578408145505646+0j),(0.36320316132614033+0j)
(0.38201957886919397+0j),(0.2581360560104615+0j),(0.13901711803780056+0j),(0.424515258111275+0j),(0.3567679473280955+0j),(0.2960970033655256+0j),(0.4376177527849567+0j),(0.4259363253772176+0j)
(0.41210502004612354+0j),(0.5264570928403227+0j),(0.44709353929472956+0j),(0.10228033644119953+0j),(0.32432864832879993+0j),(0.11018347322425266+0j),(0.4743309148792519+0j),(0.018417248452286296+0j)
(0.12236458441273852+0j),(0.335964606860851+0j),(0.13210336361708333+0j),(0.5875218585517653+0j),(0.42519617118055564+0j),(0.4018453345474478+0j),(0.29354490638447933+0j),(0.2847479403171099+0j)
(0.08630855063906022+0j),(0.39891219801762556+0j),(0.4176768910501163+0j),(0.3087788636994866+0j),(0.47595225317217676+0j),(0.21993479402033525+0j),(0.12451802847841063+0j),(0.5226996461046298+0j)
(0.14575529088289327+0j),(0.19578280545820123+0j),(0.4603834481294214+0j),(0.05291933642362221+0j),(0.4154746538470902+0j),(0.4909751255045047+0j),(0.2052487882201757+0j),(0.5194884848272703+0j)
(0.2821352708588046+0j),(0.2885229286809409+0j),(0.14776134704374444+0j),(0.29848147370119854+0j),(0.22309554967941134+0j),(0.4371045430599859+0j),(0.228370314153159+0j),(0.6582131846924142+0j)
(0.4567320491250924+0j),(0.37410977573224996+0j),(0.30931700596446404+0j),(0.4126155121401721+0j),(0.3623529440621545+0j),(0.18704124747131579+0j),(0.36084524903365667+0j),(0.2983550936212492+0j)
(0.5207891055125083+0j),(0.44195712401929843+0j),(0.3963931997304875+0j),(0.1823710137763762+0j),(0.438512684225901+0j),(0.06303259002366919+0j),(0.13133305391107322+0j),(0.3599319379660119+0j)
(0.08839446393308284+0j),(0.1915204503139585+0j),(0.5182449493975112+0j),(0.2811027086182908+0j),(0.5284698178874101+0j),(0.16391389395067874+0j),(0.47192477263264143+0j),(0.2811559556839512+0j)
(0.16444442074132967+0j),(0.26072380218808444+0j),(0.15770400785407912+0j),(0.518158783106772+0j),(0.3043807554269139+0j),(0.24291433438866508+0j),(0.44174824179716443+0j),(0.5146120146275968+0j)
(0.4090082609832029+0j),(0.42866499744560327+0j),(0.005649696567156653+0j),(0.26015163305168437+0j),(0.47184958413920053+0j),(0.07771948460185171+0j),(0.40674754149922693+0j),(0.4325758434158323+0j)
(0.17501882065086638+0j),(0.009793710250040142+0j),(0.36258361163941905+0j),(0.28158814091370604+0j),(0.15989871545173345+0j),(0.08645874913793208+0j),(0.6709752354228784+0j),(0.5246553707610345+0j)
(0.4805373690825488+0j),(0.4505862065392335+0j),(0.45591037149750185+0j),(0.4257582131626161+0j),(0.030284719181804188+0j),(0.2110975611740768+0j),(0.2725437955178558+0j),(0.23910692054507546+0j)
(0.41054277087450625+0j),(0.03612635480805585+0j),(0.07909818055744545+0j),(0.34722119431163817+0j),(0.48957041147130226+0j),(0.27407995746644565+0j),(0.5073421464637234+0j),(0.362126187085192+0j)
(0.4043966358488708+0j),(0.21059411315447002+0j),(0.37286494712311646+0j),(0.28519738642643355+0j),(0.47687119389930144+0j),(0.2117057188774784+0j),(0.5158490907368611+0j),(0.18281665955482215+0j)
(0.0358382587877782+0j),(0.2769138950627939+0j),(0.026163125228159608+0j),(0.2159492209052978+0j),(0.34265013833664537+0j),(0.21672113236995044+0j),(0.3012505814522669+0j),(0.7871382721312297+0j)
(0.34697539161311125+0j),(0.49472959670660693+0j),(0.24267129771920537+0j),(0.38227827147207816+0j),(0.32679776920181597+0j),(0.16171038547572475+0j),(0.2818260283316017+0j),(0.46631719591913756+0j)
