(0.3034180619635907+0j),(0.5249494417472192+0j),(0.06778998431493943+0j),(0.03968810456356006+0j),(0.20663513651081525+0j),(0.37972798432418275+0j),(0.5515371143873985+0j),(0.36757356460951507+0j)
(0.2876530075537787+0j),(0.1585839674098772+0j),(0.1459385858353943+0j),(0.3560710151666662+0j),(0.543042074846026+0j),(0.5172752565785268+0j),(0.4207381790860126+0j),(0.06732928327468335+0j)
(0.21597156008761126+0j),(0.39466389851000666+0j),(0.5441748820134654+0j),(0.21324588498929406+0j),(0.43314229059601983+0j),(0.12829146285979545+0j),(0.4965144612945446+0j),(0.07347808616781919+0j)
(0.39564473897842833+0j),(0.1605865601366846+0j),(0.2406413488242763+0j),(0.44995831738992326+0j),(0.4218375809630722+0j),(0.19303247070284646+0j),(0.5541885137583749+0j),(0.18701086286545493+0j)
(0.393054970654816+0j),(0.09654521533043434+0j),(0.31385616078953005+0j),(0.05614009688899796+0j),(0.32150325963497084+0j),(0.6282966737308264+0j),(0.17334350420415465+0j),(0.45426906637937015+0j)
(0.43491316982884265+0j),(0.4546823543845986+0j),(0.09796198355532428+0j),(0.16975651776443218+0j),(0.4651499210031156+0j),(0.08127238255856054+0j),(0.5825953048512682+0j),(0.05756498383926794+0j)
(0.4408280939528509+0j),(0.4726737497521531+0j),(0.2769890155581524+0j),(0.23045220691225546+0j),(0.46650804420063063+0j),(0.2115247565886526+0j),(0.027233007628231137+0j),(0.4350917935427724+0j)
(0.4201231426747055+0j),(0.175580751388444+0j),(0.223218300908258+0j),(0.27367148332913344+0j),(0.5719957882626985+0j),(0.5540251594304897+0j),(0.056015991253719276+0j),(0.17517021360573487+0j)
(0.34838784399223577+0j),(0.2987776682968292+0j),(0.3089948058948567+0j),(0.4308210187513391+0j),(0.23963059994685157+0j),(0.29982341692218045+0j),(0.41845075896118883+0j),(0.4311094192622504+0j)
(0.3249161420087564+0j),(0.2889795554713796+0j),(0.32442974614554904+0j),(0.36373110409105835+0j),(0.45865159099621183+0j),(0.20065479953809587+0j),(0.4194850219993942+0j),(0.38311098487446393+0j)
(0.2175844964494694+0j),(0.03020169809111689+0j),(0.5246072273138809+0j),(0.06223403662959182+0j),(0.3256832253000852+0j),(0.3525384968264079+0j),(0.42803538913924505+0j),(0.509010586068697+0j)
(0.45264197500261827+0j),(0.35156614268115294+0j),(0.23976693414103376+0j),(0.4411763862966028+0j),(0.05478203489885082+0j),(0.16643023074119834+0j),(0.49626561960245175+0j),(0.377375204539556+0j)
(0.11084265075895652+0j),(0.44355246283555605+0j),(0.4427226818707617+0j),(0.03207444850177828+0j),(0.4339658215099535+0j),(0.13720870822123504+0j),(0.3458686395376522+0j),(0.5168803503031747+0j)
(0.16214885246374328+0j),(0.5472310918071219+0j),(0.42075212600931233+0j),(0.1428173564222587+0j),(0.6574227382266911+0j),(0.04096507359531063+0j),(0.06475524158571286+0j),(0.1968265674712235+0j)
(0.48532295206874915+0j),(0.4944003253038336+0j),(0.37856530720224824+0j),(0.30269680305531205+0j),(0.15886694596296738+0j),(0.2857048148393428+0j),(0.16506815806149558+0j),(0.38856075405256896+0j)
(0.5380778849001878+0j),(0.3871735146654561+0j),(0.5134939145470447+0j),(0.005526595661706524+0j),(0.31052547570044825+0j),(0.20715434452790069+0j),(0.1984807046072045+0j),(0.34369860658625945+0j)
(0.4671524803980859+0j),(0.17010138243453868+0j),(0.5329736831124424+0j),(0.18236129756460667+0j),(0.3493354138956026+0j),(0.4112328140287055+0j),(0.07653961882342866+0j),(0.372171355731026+0j)
(0.1600897928317552+0j),(0.2892465078822299+0j),(0.43011615799590064+0j),(0.4710935151273268+0j),(0.4441637142571494+0j),(0.16543779341238668+0j),(0.47592022783435844+0j),(0.18063104586718098+0j)
(0.04702955196844605+0j),(0.04317827724898165+0j),(0.5316883885563327+0j),(0.14890625935118695+0j),(0.46157692279128476+0j),(0.4465051095541174+0j),(0.48844408573277254+0j),(0.20015131180468043+0j)
(0.10572445523287777+0j),(0.18455239090350745+0j),(0.07691269164594366+0j),(0.4990625960570659+0j),(0.39927897435965326+0j),(0.37327888249405405+0j),(0.6016514883111287+0j),(0.19758132702602554+0j)
(0.0049546790872706786+0j),(0.29649959261054537+0j),(0.5193349145169694+0j),(0.46529016003524415+0j),(0.6202477174414308+0j),(0.04582934272564704+0j),(0.13464419044775267+0j),(0.144648327358636+0j)
(0.4773187045184287+0j),(0.4334238096783772+0j),(0.38282634528465626+0j),(0.5556466347681714+0j),(0.042050500527783856+0j),(0.25662849782687747+0j),(0.24656930194138824+0j),(0.02426130656312821+0j)
(0.2854860815606565+0j),(0.33059551800771797+0j),(0.36141271485100407+0j),(0.21270744889099125+0j),(0.27075428537993645+0j),(0.6491289551274547+0j),(0.23292762575003353+0j),(0.2905324924421623+0j)
(0.01231488580198669+0j),(0.40237290988287067+0j),(0.3405773768904389+0j),(0.4713822159438204+0j),(0.032057853574163575+0j),(0.41982806547010465+0j),(0.3980938102673682+0j),(0.4049546264917249+0j)
(0.5390598746563011+0j),(0.11071857188688973+0j),(0.14744996274651076+0j),(0.22971684456284297+0j),(0.01995623878060695+0j),(0.6215659056431971+0j),(0.03294335164360613+0j),(0.48457903198876934+0j)
(0.24291340536664174+0j),(0.18359324359057144+0j),(0.485404988408864+0j),(0.018972498916335533+0j),(0.4074686119100903+0j),(0.12528314064451898+0j),(0.5926831996579722+0j),(0.37189881652841145+0j)
(0.3432245598594541+0j),(0.4105631228013678+0j),(0.3520060877009892+0j),(0.5396560751433104+0j),(0.38748623215091843+0j),(0.283931968173892+0j),(0.09398249432808141+0j),(0.24269776799445636+0j)
(0.10679211189663722+0j),(0.4633643609783396+0j),(0.4941146628893664+0j),(0.021647348859719646+0j),(0.19002407222206924+0j),(0.14056640848693563+0j),(0.444806580708899+0j),(0.5249286128190652+0j)
(0.2497193532466288+0j),(0.14008715532612057+0j),(0.3955079926364947+0j),(0.26742321289560245+0j),(0.27323677777909217+0j),(0.04000777340099746+0j),(0.5894112570593775+0j),(0.51614871682495+0j)
(0.08783521686029788+0j),(0.1181449383196551+0j),(0.4653557672634534+0j),(0.3763285562603128+0j),(0.3250819336310456+0j),(0.4864732409438233+0j),(0.18357451565101837+0j),(0.494078430334727+0j)
(0.4832552787827181+0j),(0.29877332712968874+0j),(0.3764037310578598+0j),(0.17428828116338685+0j),(0.4527204174130122+0j),(0.15140079638066678+0j),(0.23269622977569682+0j),(0.472352779160017+0j)
(0.36808287599316725+0j),(0.3160785902279063+0j),(0.16389194161011372+0j),(0.41967244725343683+0j),(0.4090609228928515+0j),(0.09529636195111098+0j),(0.36814362195920614+0j),(0.499681726765553+0j)
(0.3927026758548655+0j),(0.32187852013684326+0j),(0.09352317223167003+0j),(0.3297430004351674+0j),(0.1687527526658469+0j),(0.6203580697689735+0j),(0.08815943169037953+0j),(0.45122952575704184+0j)
(0.23630857640990865+0j),(0.3373251599122736+0j),(0.5832313764202146+0j),(0.4351095788009172+0j),(0.0571777163716802+0j),(0.09094931813023359+0j),(0.32350387062056096+0j),(0.42976154455189713+0j)
(0.5525881272521428+0j),(0.15570256809383642+0j),(0.15428004225160724+0j),(0.2545674539574831+0j),(0.0864551244217713+0j),(0.04822853053051238+0j),(0.4037374872022465+0j),(0.6395245996747115+0j)
(0.40895047398125933+0j),(0.21098001784796416+0j),(0.5421283913166465+0j),(0.44363475194759233+0j),(0.0047359305421023545+0j),(0.23117629688401464+0j),(0.011787409762487681+0j),(0.49389078123020796+0j)
(0.3725126733991029+0j),(0.2667080044582389+0j),(0.0667344168625909+0j),(0.2982044782655245+0j),(0.5850225890178065+0j),(0.2415085521549918+0j),(0.5194884981244585+0j),(0.16209764080531947+0j)
(0.1361407858497158+0j),(0.36407236415478544+0j),(0.43611081920045+0j),(0.13297269996689623+0j),(0.29158298097462226+0j),(0.3382015386294355+0j),(0.402719619608543+0j),(0.5286384463731134+0j)
(0.02880286049068515+0j),(0.5915259027583276+0j),(0.39645184686577545+0j),(0.5363402660781277+0j),(0.0047058098056065745+0j),(0.06422157492618452+0j),(0.2270636233721225+0j),(0.38565283520629706+0j)
(0.36257173356902345+0j),(0.24073789664273293+0j),(0.3226218447148386+0j),(0.30812924772317557+0j),(0.41710744944833045+0j),(0.4652484815292167+0j),(0.40799427498812757+0j),(0.23380421889587233+0j)
(0.1033908410316992+0j),(0.14436780704628058+0j),(0.6046629049880561+0j),(0.11772316304904745+0j),(0.4136740313888818+0j),(0.2936706305965091+0j),(0.4838041842811769+0j),(0.31234142575726737+0j)
(0.4664466264335331+0j),(0.507776434909303+0j),(0.02521929130878175+0j),(0.3565187849093381+0j),(0.09910899094936684+0j),(0.001339695089664426+0j),(0.4518624977965946+0j),(0.427603644052894+0j)
(0.16263056797748934+0j),(0.19393133135527904+0j),(0.5138503075436918+0j),(0.3139945449671785+0j),(0.1358111476703758+0j),(0.3274733141225291+0j),(0.4935557081115309+0j),(0.4516929797359976+0j)
(0.22195448290518727+0j),(0.3907263444392819+0j),(0.24805240560716182+0j),(0.4382998219899154+0j),(0.46674137533383986+0j),(0.3896445123337186+0j),(0.01535913870033255+0j),(0.4177632592911844+0j)
(0.2591639062206038+0j),(0.14299530061701907+0j),(0.5759691601794513+0j),(0.4210702358679638+0j),(0.5144325059684486+0j),(0.1553091910204869+0j),(0.05355285151632886+0j),(0.33423964573978227+0j)
(0.12240105153193488+0j),(0.27545370031004884+0j),(0.4916682531190315+0j),(0.12901454114242628+0j),(0.3581245659743751+0j),(0.4496538402968066+0j),(0.2645204611233863+0j),(0.5003478424227871+0j)
(0.1330180209692519+0j),(0.21394085376657385+0j),(0.07590619497632144+0j),(0.39137197906030147+0j),(0.5377037986517597+0j),(0.38806879780383896+0j),(0.4486431423545321+0j),(0.36959207873342614+0j)
(0.41637921037399034+0j),(0.26568861272057537+0j),(0.5366952801513449+0j),(0.2534361110740805+0j),(0.1250475178791449+0j),(0.41575615952040884+0j),(0.38985155546420774+0j),(0.25157886815292574+0j)
(0.34767487029601624+0j),(0.19512483849640308+0j),(0.12988695540403755+0j),(0.2681404739840814+0j),(0.5348669654304509+0j),(0.08885183476676377+0j),(0.3653678125844616+0j),(0.5699189321920346+0j)
(0.1474322873429923+0j),(0.10756521730070007+0j),(0.39957978081489476+0j),(0.41140721995316787+0j),(0.5292277022143981+0j),(0.23062083949794263+0j),(0.5026927020696632+0j),(0.22760856243609623+0j)
(0.21391708188469763+0j),(0.3453541746593591+0j),(0.32684484113873213+0j),(0.47211369262705555+0j),(0.16167889546452194+0j),(0.12085442737008711+0j),(0.6629933778997905+0j),(0.15793989421858415+0j)
(0.28289732243142396+0j),(0.48976984613793284+0j),(0.47614911176578273+0j),(0.022502023637221914+0j),(0.02683613628827775+0j),(0.33643435071129324+0j),(0.5374068608322187+0j),(0.22395513044601223+0j)
(0.29397948915992744+0j),(0.27907217267714163+0j),(0.47438735168147694+0j),(0.24463488525072008+0j),(0.2699542646222518+0j),(0.49254588967900964+0j),(0.4433881326474263+0j),(0.1968131125548546+0j)
(0.4728716209153305+0j),(0.003653534000278259+0j),(0.4838384687596045+0j),(0.4919613198639797+0j),(0.3592566081454788+0j),(0.32949448207538756+0j),(0.05531044782936591+0j),(0.2440539036255352+0j)
(0.37047472296709116+0j),(0.48578183587660195+0j),(0.3728117720683441+0j),(0.3587479944342507+0j),(0.4364249729060509+0j),(0.009054502329980816+0j),(0.1829450438221594+0j),(0.36750253961557383+0j)
(0.24559258829272368+0j),(0.4734702783885348+0j),(0.11739327057190764+0j),(0.14451510509951893+0j),(0.5530625665575379+0j),(0.2570304717800069+0j),(0.19087487860570554+0j),(0.5219849569168284+0j)
(0.2705626989057402+0j),(0.5492668777916243+0j),(0.46415953107509605+0j),(0.3736119601351126+0j),(0.02524964204471635+0j),(0.34253442710755766+0j),(0.19886418619887375+0j),(0.33549577217634113+0j)
(0.04830779266794561+0j),(0.41494360249339124+0j),(0.46641451385085925+0j),(0.38204694983334975+0j),(0.025553248825109603+0j),(0.4020450009702995+0j),(0.365617480889305+0j),(0.4074512236416653+0j)
(0.5070636883144045+0j),(0.3543502869586706+0j),(0.043960007223164135+0j),(0.1682799236240173+0j),(0.4736630702466797+0j),(0.3636911172238725+0j),(0.37641372334351836+0j),(0.29792020947049586+0j)
(0.2680035872373301+0j),(0.25180397608968097+0j),(0.10308382420557871+0j),(0.34627542296378544+0j),(0.5901554004803546+0j),(0.11983192123174748+0j),(0.6080865033861683+0j),(0.04270374490742938+0j)
(0.4356329616876933+0j),(0.4219283263639871+0j),(0.6082582620802116+0j),(0.21035818055307096+0j),(0.12205334514564914+0j),(0.2327521736876815+0j),(0.0770868302607049+0j),(0.37809887565454303+0j)
(0.4245550324188429+0j),(0.3161346670813839+0j),(0.15494997852822434+0j),(0.33817829644899533+0j),(0.39249414652769743+0j),(0.09299801351538146+0j),(0.3606416521358927+0j),(0.5372849838312226+0j)
(0.2225338196847866+0j),(0.36597636903687075+0j),(0.012426664776965312+0j),(0.4720320897861302+0j),(0.06219892628495837+0j),(0.18267648594648028+0j),(0.505491044274121+0j),(0.5484621042767212+0j)
(0.28158190105417324+0j),(0.38826722296163174+0j),(0.0006585458502530174+0j),(0.1557594791666596+0j),(0.6001165034684623+0j),(0.06675020611477903+0j),(0.5800936587615263+0j),(0.2111745412036254+0j)
(0.2696366853563811+0j),(0.43049968618972395+0j),(0.43337433092524286+0j),(0.16650819750609613+0j),(0.16477270364840432+0j),(0.25512474050320205+0j),(0.31676700058509405+0j),(0.5777956194147148+0j)
(0.23069695334487164+0j),(0.2270605320027821+0j),(0.28245215468114476+0j),(0.5116795896285514+0j),(0.48589776640907134+0j),(0.3614172760981184+0j),(0.3202997745394915+0j),(0.29037247797266613+0j)
(0.516511846335483+0j),(0.1431577530140968+0j),(0.3853824462842733+0j),(0.10034820254748399+0j),(0.24806658216205596+0j),(0.5120692801973732+0j),(0.08809785613096449+0j),(0.47182493525269703+0j)
(0.09759390950118488+0j),(0.32972280641789414+0j),(0.18127178883969725+0j),(0.5845793883327597+0j),(0.3822089413213564+0j),(0.5317850438003838+0j),(0.04907239165442807+0j),(0.2754608317076701+0j)
(0.40058625602599257+0j),(0.3396486858784962+0j),(0.4070045372277505+0j),(0.5109900439556709+0j),(0.051153803162906936+0j),(0.0759841213593832+0j),(0.3591200337374405+0j),(0.4000605034365769+0j)
(0.61431583490395+0j),(0.04755367239793371+0j),(0.09493874092713245+0j),(0.26001432509626926+0j),(0.5419091937823056+0j),(0.07473124401397138+0j),(0.4821953126527777+0j),(0.1094131471152387+0j)
(0.5140841942331306+0j),(0.3133645634537669+0j),(0.09219397940983536+0j),(0.31034805870390897+0j),(0.5203686139878492+0j),(0.059093307036717446+0j),(0.4940702598116351+0j),(0.11968086413411815+0j)
(0.28853780815978036+0j),(0.5014447114278477+0j),(0.10668150506587296+0j),(0.5600371977168189+0j),(0.5241548973289478+0j),(0.0901899254540711+0j),(0.06876582657771373+0j),(0.22951080658983836+0j)
(0.4875942456063422+0j),(0.5281130884801734+0j),(0.4020002718290441+0j),(0.2451735258352332+0j),(0.01491100457941266+0j),(0.15577479401904387+0j),(0.1645978479470802+0j),(0.45831601002840455+0j)
(0.4357776419510593+0j),(0.4454156996896615+0j),(0.5459826598878982+0j),(0.21491432335742974+0j),(0.3246906391785117+0j),(0.349051317597637+0j),(0.11652788069132305+0j),(0.16302726611793877+0j)
(0.05585227892150909+0j),(0.08724027489207449+0j),(0.29278393997117874+0j),(0.1835509366334431+0j),(0.6489310899888208+0j),(0.02797884470947927+0j),(0.6403845888733815+0j),(0.19460081849797634+0j)
(0.1854004466196791+0j),(0.6317577598617066+0j),(0.08590220464841967+0j),(0.5204807754702296+0j),(0.10874300816783837+0j),(0.1306483279595304+0j),(0.5052023006003723+0j),(0.06407799071655422+0j)
(0.29061205671048446+0j),(0.46242729299983304+0j),(0.45299540229870033+0j),(0.2938807497032803+0j),(0.3602505317413113+0j),(0.07424057012916305+0j),(0.10540067850569505+0j),(0.5135498911799745+0j)
(0.10825876815799079+0j),(0.3334062672237705+0j),(0.07686648903117764+0j),(0.08727432355225756+0j),(0.15885942136871023+0j),(0.43075224443499466+0j),(0.6444690993854736+0j),(0.48730976134203535+0j)
(0.34313779492051477+0j),(0.5150911176534175+0j),(0.07149231744683195+0j),(0.1300810131764338+0j),(0.16990683049336144+0j),(0.4349206097849063+0j),(0.20629217624093374+0j),(0.57820813114874+0j)
(0.41490759363149016+0j),(0.46545744037034975+0j),(0.4931320130893587+0j),(0.1345386986687237+0j),(0.4067942183052451+0j),(0.2215964223685725+0j),(0.17878661146791097+0j),(0.3215121355166357+0j)
(0.10447283685340966+0j),(0.19262271370146158+0j),(0.11857243417624208+0j),(0.2092211148937704+0j),(0.490751993688747+0j),(0.2266078083711454+0j),(0.04627130180906145+0j),(0.7744800629886189+0j)
(0.12425126014270267+0j),(0.533386472008238+0j),(0.015089331804668362+0j),(0.3322832686723686+0j),(0.30888899937049386+0j),(0.516972157338327+0j),(0.16111198812453323+0j),(0.44809701979042693+0j)
(0.04470692600997852+0j),(0.07705012775303292+0j),(0.3264663584011575+0j),(0.4665709716047429+0j),(0.21091912082609515+0j),(0.594545896761285+0j),(0.5114257584717483+0j),(0.09092749063916927+0j)
(0.3685364920091682+0j),(0.2708648131373065+0j),(0.3621559993257616+0j),(0.4850526321112772+0j),(0.4239153570447891+0j),(0.356804754604285+0j),(0.23212584144299567+0j),(0.25195994559392837+0j)
(0.3304527516085557+0j),(0.5185687808248653+0j),(0.009047645650085598+0j),(0.3812477286262922+0j),(0.3733288246539563+0j),(0.41423980720059017+0j),(0.027803746245707455+0j),(0.40584927071666443+0j)
(0.43869512183357406+0j),(0.1262369428607216+0j),(0.05326464557249899+0j),(0.4698979864499786+0j),(0.6433458060812338+0j),(0.3798701041392149+0j),(0.07633648424457122+0j),(0.06282677097403722+0j)
(0.4465786488563502+0j),(0.36110257522339695+0j),(0.25476439067571477+0j),(0.4450977649289926+0j),(0.17232926002417578+0j),(0.369791268001589+0j),(0.3585119168868323+0j),(0.33493547908655613+0j)
(0.0037742773193737466+0j),(0.3947393265396235+0j),(0.08594830832911893+0j),(0.09867861672820458+0j),(0.5937591191718304+0j),(0.3974829401144348+0j),(0.21912139290853136+0j),(0.518155646208582+0j)
(0.47180353138165093+0j),(0.35477795812876195+0j),(0.47347711659269653+0j),(0.01709882656332215+0j),(0.17858358701882318+0j),(0.44874087751806496+0j),(0.44022750965907925+0j),(0.0005877296881440268+0j)
(0.21974536566399658+0j),(0.36180619913899464+0j),(0.3663963104747297+0j),(0.5071868432593603+0j),(0.274688263172393+0j),(0.3475430874010624+0j),(0.1420718090531261+0j),(0.46141007767098546+0j)
(0.32774186351359513+0j),(0.15223199683292044+0j),(0.5571394719070265+0j),(0.2725059688942678+0j),(0.44463056697621983+0j),(0.15785329092120942+0j),(0.4559569029264529+0j),(0.23288644428244468+0j)
(0.5209354168350235+0j),(0.33673339239530586+0j),(0.12317673253592977+0j),(0.2975689947160652+0j),(0.537182757708545+0j),(0.36277432532152587+0j),(0.212373050697373+0j),(0.21504478818133937+0j)
(0.04257186260773524+0j),(0.838061555242938+0j),(0.20959193216160235+0j),(0.0867541810539514+0j),(0.3768435449811379+0j),(0.17288368970968568+0j),(0.15208733890950568+0j),(0.2221598837822884+0j)
(0.3202160288254148+0j),(0.12307031066684318+0j),(0.5016555977456634+0j),(0.14808968401387698+0j),(0.19316662538097124+0j),(0.30344844478644917+0j),(0.46340433373138007+0j),(0.5143817842122208+0j)
(0.2751574305870984+0j),(0.05732668761843213+0j),(0.022270578299571017+0j),(0.6334578982428118+0j),(0.3721670154728917+0j),(0.4058246330913725+0j),(0.08580041919304564+0j),(0.4568079679821246+0j)
(0.5595268000122605+0j),(0.43103445374016075+0j),(0.2898399165556821+0j),(0.11529892500190521+0j),(0.08911187239268749+0j),(0.23109371190682204+0j),(0.36439284337954564+0j),(0.4579417720965486+0j)
(0.33146814019941007+0j),(0.18863038517494016+0j),(0.5667500076645201+0j),(0.4968768275577387+0j),(0.10254366611025849+0j),(0.3668636925259463+0j),(0.2515029847215508+0j),(0.27945907248283886+0j)
(0.22487696925534698+0j),(0.15771982152091343+0j),(0.5618589715289739+0j),(0.4989000374338016+0j),(0.09107018578319906+0j),(0.2557796425136382+0j),(0.4040406511316175+0j),(0.3507166995297537+0j)
(0.4983435517719883+0j),(0.23285164472444925+0j),(0.09304742925371351+0j),(0.4947805734936182+0j),(0.3256098662529617+0j),(0.4426609469773211+0j),(0.22866980278690385+0j),(0.2995126011911156+0j)
(0.3672261756196745+0j),(0.5094864308068279+0j),(0.4319748985777522+0j),(0.19646640659848413+0j),(0.15083063711900493+0j),(0.414437166682654+0j),(0.06629584666340364+0j),(0.4259858745709756+0j)
(0.181665813517298+0j),(0.41906292805540796+0j),(0.2436946066762381+0j),(0.35467698735416575+0j),(0.5495470619072783+0j),(0.29086036553319516+0j),(0.08450493466255536+0j),(0.46093183701678087+0j)
(0.0672911956984276+0j),(0.49917313419805587+0j),(0.2616494695044793+0j),(0.31736718648181494+0j),(0.4369293590933692+0j),(0.08520845899100617+0j),(0.41641769891642527+0j),(0.45336988743937573+0j)
(0.488011063973576+0j),(0.28972604622155423+0j),(0.018420149346768402+0j),(0.16551360326585715+0j),(0.5107445280046955+0j),(0.33603375564702637+0j),(0.5055582245844954+0j),(0.144229638237734+0j)
(0.18653203612576563+0j),(0.33401752516338173+0j),(0.046895428778432516+0j),(0.20375157164543453+0j),(0.15795395039517604+0j),(0.44306285377659554+0j),(0.3033244899348842+0j),(0.7047441515598748+0j)
(0.058365109356533336+0j),(0.45040322880598427+0j),(0.27217089460376837+0j),(0.2131416668520234+0j),(0.3281424240257731+0j),(0.5630756725894882+0j),(0.2793090870626016+0j),(0.4141000481160447+0j)
(0.1997215635374913+0j),(0.25148908108393586+0j),(0.07133920014264343+0j),(0.4113230923380944+0j),(0.3792841920815399+0j),(0.36777391520740493+0j),(0.34786990546051255+0j),(0.567856451219053+0j)
(0.2925937635698201+0j),(0.32775361752485976+0j),(0.24147366220175423+0j),(0.34980240287723235+0j),(0.6122865199001002+0j),(0.41018572513717844+0j),(0.2773181041226373+0j),(0.07901115548921667+0j)
(0.3632957927342796+0j),(0.1406378083912462+0j),(0.37860151726582086+0j),(0.43212661237971794+0j),(0.30963877338430956+0j),(0.4671589544185287+0j),(0.4101477619202486+0j),(0.18928763970524906+0j)
(0.2093053388740403+0j),(0.05246618329499302+0j),(0.5725964649917373+0j),(0.05667157371159757+0j),(0.6519614714154451+0j),(0.0920848252215454+0j),(0.41938944344760404+0j),(0.11375111085053363+0j)
(0.16712814166037654+0j),(0.15751701986853323+0j),(0.48966458648390637+0j),(0.5011113463513043+0j),(0.49171245466979124+0j),(0.17637586360398427+0j),(0.3431174023556284+0j),(0.2564243531330372+0j)
(0.48270742505717873+0j),(0.041464285127082744+0j),(0.3834324837357256+0j),(0.26751598321707676+0j),(0.24728859891546873+0j),(0.36947641536574355+0j),(0.3895318411938053+0j),(0.4441727772210839+0j)
(0.4566260589675627+0j),(0.47142403081639017+0j),(0.24400078388470703+0j),(0.08072545184118575+0j),(0.02256332824783449+0j),(0.5261207110009751+0j),(0.39311451186181434+0j),(0.2671103116076208+0j)
(0.2695851832566188+0j),(0.0641989058104607+0j),(0.278708507196714+0j),(0.6174831275944941+0j),(0.029361818565302542+0j),(0.46259244107208797+0j),(0.24032932381794284+0j),(0.4377515480272473+0j)
(0.5330760596577411+0j),(0.06250566879630393+0j),(0.5707875403937127+0j),(0.06527931011056838+0j),(0.46684567449742814+0j),(0.18639600328565253+0j),(0.19681240056695656+0j),(0.3007319014273934+0j)
(0.4142787505245002+0j),(0.5111294846743181+0j),(0.36038658515805155+0j),(0.35479186925775397+0j),(0.0537944068142289+0j),(0.02774199834704564+0j),(0.43776156932630245+0j),(0.34068366155617563+0j)
(0.49984675987744454+0j),(0.4036815644224128+0j),(0.10472815580047522+0j),(0.22677290881212953+0j),(0.5249261909192946+0j),(0.21805647237859876+0j),(0.044201354620951525+0j),(0.4469346502425664+0j)
